Match demand,Minimize cost,tooltip
13005852.814188447,49.594570534349806,"Generation: 141<br>Type: Minimize curtailments<br>Installed power: 184.38 GW<br>Renewable power: 155.55 GW (247.38 %)<br>Emissions: 16,020.22 Kton CO<sub>2</sub> (75.18 %)<br>Imported energy: 129.94 GWh<br>Exported energy: -21663.74 GWh<br>Net cost: 14,935.35 M€<br>Dumped energy cost: 453.49 M€<br>Power PV: 30.18 GW (29935.941502895443)<br>Power wind: 74.80 GW (74369.61972254381)<br>Power CSP: 19.50 GW (17196.658248737687)<br>Match demand = 13,005.85 GWh<br>Minimize cost = 4.96 c€/kWh<br>"
12626733.56376301,49.92667145126981,"Generation: 137<br>Type: Minimize curtailments<br>Installed power: 183.41 GW<br>Renewable power: 154.58 GW (245.83 %)<br>Emissions: 16,122.64 Kton CO<sub>2</sub> (75.02 %)<br>Imported energy: 128.07 GWh<br>Exported energy: -21562.29 GWh<br>Net cost: 15,035.37 M€<br>Dumped energy cost: 442.87 M€<br>Power PV: 28.27 GW (28018.814193105227)<br>Power wind: 75.19 GW (74764.36185561412)<br>Power CSP: 20.05 GW (17745.684292029524)<br>Match demand = 12,626.73 GWh<br>Minimize cost = 4.99 c€/kWh<br>"
12869677.554232826,49.64129479451435,"Generation: 136<br>Type: Minimize curtailments<br>Installed power: 184.12 GW<br>Renewable power: 155.29 GW (246.96 %)<br>Emissions: 16,076.84 Kton CO<sub>2</sub> (75.09 %)<br>Imported energy: 130.10 GWh<br>Exported energy: -21575.75 GWh<br>Net cost: 14,949.42 M€<br>Dumped energy cost: 449.04 M€<br>Power PV: 29.90 GW (29647.397942317577)<br>Power wind: 74.80 GW (74369.61972254381)<br>Power CSP: 19.53 GW (17224.53812387739)<br>Match demand = 12,869.68 GWh<br>Minimize cost = 4.96 c€/kWh<br>"
15052641.81796886,47.29123601646988,"Generation: 134<br>Type: Minimize curtailments<br>Installed power: 189.59 GW<br>Renewable power: 160.76 GW (255.66 %)<br>Emissions: 16,129.61 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 129.39 GWh<br>Exported energy: -22456.13 GWh<br>Net cost: 14,241.71 M€<br>Dumped energy cost: 511.47 M€<br>Power PV: 41.61 GW (41358.20618738279)<br>Power wind: 73.04 GW (72611.10173053066)<br>Power CSP: 15.04 GW (12739.92004469672)<br>Match demand = 15,052.64 GWh<br>Minimize cost = 4.73 c€/kWh<br>"
13359223.670285158,48.916562822876166,"Generation: 133<br>Type: Minimize curtailments<br>Installed power: 185.47 GW<br>Renewable power: 156.64 GW (249.11 %)<br>Emissions: 16,046.71 Kton CO<sub>2</sub> (75.14 %)<br>Imported energy: 121.18 GWh<br>Exported energy: -22418.07 GWh<br>Net cost: 14,731.17 M€<br>Dumped energy cost: 465.88 M€<br>Power PV: 31.23 GW (30980.999473308497)<br>Power wind: 76.28 GW (75854.05369437496)<br>Power CSP: 18.06 GW (15753.138299041339)<br>Match demand = 13,359.22 GWh<br>Minimize cost = 4.89 c€/kWh<br>"
12620835.920288831,49.928216065912096,"Generation: 131<br>Type: Minimize curtailments<br>Installed power: 183.40 GW<br>Renewable power: 154.57 GW (245.82 %)<br>Emissions: 16,125.48 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 128.26 GWh<br>Exported energy: -21554.89 GWh<br>Net cost: 15,035.83 M€<br>Dumped energy cost: 442.65 M€<br>Power PV: 28.27 GW (28018.814193105227)<br>Power wind: 75.18 GW (74754.24597508516)<br>Power CSP: 20.05 GW (17745.684292029524)<br>Match demand = 12,620.84 GWh<br>Minimize cost = 4.99 c€/kWh<br>"
12475921.211099135,50.708970267814905,"Generation: 129<br>Type: Minimize curtailments<br>Installed power: 182.46 GW<br>Renewable power: 153.63 GW (244.32 %)<br>Emissions: 16,103.70 Kton CO<sub>2</sub> (75.05 %)<br>Imported energy: 138.02 GWh<br>Exported energy: -20646.30 GWh<br>Net cost: 15,270.95 M€<br>Dumped energy cost: 436.66 M€<br>Power PV: 27.86 GW (27610.267637213336)<br>Power wind: 72.91 GW (72482.58600245074)<br>Power CSP: 21.79 GW (19485.066685237798)<br>Match demand = 12,475.92 GWh<br>Minimize cost = 5.07 c€/kWh<br>"
12742116.77570944,49.92263983539019,"Generation: 129<br>Type: Minimize curtailments<br>Installed power: 183.59 GW<br>Renewable power: 154.76 GW (246.13 %)<br>Emissions: 16,065.38 Kton CO<sub>2</sub> (75.11 %)<br>Imported energy: 126.33 GWh<br>Exported energy: -21637.16 GWh<br>Net cost: 15,034.15 M€<br>Dumped energy cost: 446.78 M€<br>Power PV: 28.40 GW (28156.032705063593)<br>Power wind: 75.18 GW (74754.24597508516)<br>Power CSP: 20.11 GW (17804.367940262735)<br>Match demand = 12,742.12 GWh<br>Minimize cost = 4.99 c€/kWh<br>"
12914320.434451312,49.6265074584071,"Generation: 128<br>Type: Minimize curtailments<br>Installed power: 184.28 GW<br>Renewable power: 155.45 GW (247.22 %)<br>Emissions: 16,096.50 Kton CO<sub>2</sub> (75.06 %)<br>Imported energy: 135.22 GWh<br>Exported energy: -21116.63 GWh<br>Net cost: 14,944.97 M€<br>Dumped energy cost: 447.79 M€<br>Power PV: 31.36 GW (31111.07986750721)<br>Power wind: 73.50 GW (73068.92146399952)<br>Power CSP: 19.53 GW (17224.53812387739)<br>Match demand = 12,914.32 GWh<br>Minimize cost = 4.96 c€/kWh<br>"
13274920.374440528,48.93601641641401,"Generation: 128<br>Type: Minimize curtailments<br>Installed power: 185.33 GW<br>Renewable power: 156.50 GW (248.89 %)<br>Emissions: 16,083.13 Kton CO<sub>2</sub> (75.08 %)<br>Imported energy: 121.78 GWh<br>Exported energy: -22313.73 GWh<br>Net cost: 14,737.03 M€<br>Dumped energy cost: 462.80 M€<br>Power PV: 31.23 GW (30980.999473308497)<br>Power wind: 76.14 GW (75716.92237860968)<br>Power CSP: 18.06 GW (15753.138299041339)<br>Match demand = 13,274.92 GWh<br>Minimize cost = 4.89 c€/kWh<br>"
